time,device,mac_id,rss,sector_id,zone_id
2023-11-02 13:10:55,APPLE,43-2A-78-9B-41-79,-85,23,21
2023-11-02 13:11:05,APPLE,43-2A-78-9B-41-79,-83,23,21
2023-11-02 13:11:15,APPLE,43-2A-78-9B-41-79,-77,23,21
2023-11-02 13:11:35,APPLE,43-2A-78-9B-41-79,-77,23,21
2023-11-02 13:11:50,APPLE,43-2A-78-9B-41-79,-87,22,21
2023-11-02 13:11:55,APPLE,43-2A-78-9B-41-79,-82,12,14
2023-11-02 13:12:00,APPLE,43-2A-78-9B-41-79,-66,16,16
2023-11-02 13:12:05,APPLE,43-2A-78-9B-41-79,-75,24,22
2023-11-02 13:12:15,APPLE,43-2A-78-9B-41-79,-76,14,12
2023-11-02 13:12:50,APPLE,43-2A-78-9B-41-79,-71,19,19
2023-11-02 13:12:55,APPLE,43-2A-78-9B-41-79,-76,18,18
2023-11-02 13:13:00,APPLE,43-2A-78-9B-41-79,-79,24,22
2023-11-02 13:13:10,APPLE,43-2A-78-9B-41-79,-78,19,19
2023-11-02 13:13:15,APPLE,43-2A-78-9B-41-79,-69,19,19
2023-11-02 13:13:30,APPLE,43-2A-78-9B-41-79,-78,13,13
2023-11-02 13:13:35,APPLE,43-2A-78-9B-41-79,-72,19,19
2023-11-02 13:13:40,APPLE,43-2A-78-9B-41-79,-83,25,23
2023-11-02 13:13:45,APPLE,43-2A-78-9B-41-79,-76,19,19
2023-11-02 13:14:00,APPLE,43-2A-78-9B-41-79,-78,13,13
2023-11-02 13:14:05,APPLE,43-2A-78-9B-41-79,-77,17,17
2023-11-02 13:14:10,APPLE,43-2A-78-9B-41-79,-73,11,15
2023-11-02 13:14:25,APPLE,43-2A-78-9B-41-79,-77,20,20
2023-11-02 13:14:55,APPLE,43-2A-78-9B-41-79,-74,11,15
2023-11-02 13:15:20,APPLE,43-2A-78-9B-41-79,-79,13,13
2023-11-02 13:15:25,APPLE,43-2A-78-9B-41-79,-72,17,17
2023-11-02 13:15:35,APPLE,43-2A-78-9B-41-79,-73,18,18
2023-11-02 13:15:40,APPLE,43-2A-78-9B-41-79,-67,16,16
2023-11-02 13:15:45,APPLE,43-2A-78-9B-41-79,-80,24,22
2023-11-02 13:15:50,APPLE,43-2A-78-9B-41-79,-84,13,13
2023-11-02 13:15:55,APPLE,43-2A-78-9B-41-79,-69,11,15
2023-11-02 13:16:00,APPLE,43-2A-78-9B-41-79,-84,13,13
2023-11-02 13:16:05,APPLE,43-2A-78-9B-41-79,-84,13,13
2023-11-02 13:16:10,APPLE,43-2A-78-9B-41-79,-75,18,18
2023-11-02 13:16:15,APPLE,43-2A-78-9B-41-79,-84,13,13
2023-11-02 13:16:20,APPLE,43-2A-78-9B-41-79,-75,12,14
2023-11-02 13:16:35,APPLE,43-2A-78-9B-41-79,-73,11,15
2023-11-02 13:16:40,APPLE,43-2A-78-9B-41-79,-74,19,19
2023-11-02 13:17:25,APPLE,43-2A-78-9B-41-79,-78,19,19
2023-11-02 13:17:40,APPLE,43-2A-78-9B-41-79,-77,19,19
2023-11-02 13:18:20,APPLE,43-2A-78-9B-41-79,-74,12,14
2023-11-02 13:18:25,APPLE,43-2A-78-9B-41-79,-74,11,15
2023-11-02 13:19:45,APPLE,43-2A-78-9B-41-79,-82,23,21
2023-11-02 13:19:55,APPLE,43-2A-78-9B-41-79,-79,11,15
2023-11-02 13:20:00,APPLE,43-2A-78-9B-41-79,-81,20,20
2023-11-02 13:20:10,APPLE,43-2A-78-9B-41-79,-78,8,8
2023-11-02 13:20:35,APPLE,43-2A-78-9B-41-79,-78,22,21
2023-11-02 13:20:50,APPLE,43-2A-78-9B-41-79,-86,25,23
2023-11-02 13:21:05,APPLE,43-2A-78-9B-41-79,-85,25,23
2023-11-02 13:21:10,APPLE,43-2A-78-9B-41-79,-80,25,23
2023-11-02 13:21:55,APPLE,43-2A-78-9B-41-79,-78,19,19
2023-11-02 13:22:00,APPLE,43-2A-78-9B-41-79,-83,25,23
2023-11-02 13:22:50,APPLE,43-2A-78-9B-41-79,-83,24,22
2023-11-02 13:22:55,APPLE,43-2A-78-9B-41-79,-83,25,23
2023-11-02 13:23:00,APPLE,43-2A-78-9B-41-79,-81,25,23
2023-11-02 13:23:10,APPLE,43-2A-78-9B-41-79,-84,25,23
2023-11-02 13:23:15,APPLE,43-2A-78-9B-41-79,-82,23,21
2023-11-02 13:23:25,APPLE,43-2A-78-9B-41-79,-88,24,22
2023-11-02 13:23:35,APPLE,43-2A-78-9B-41-79,-75,25,23
2023-11-02 13:25:05,APPLE,43-2A-78-9B-41-79,-86,17,17
2023-11-02 13:25:20,APPLE,43-2A-78-9B-41-79,-80,11,15
2023-11-02 13:25:25,APPLE,43-2A-78-9B-41-79,-87,18,18
2023-11-02 13:25:55,APPLE,43-2A-78-9B-41-79,-88,10,10
2023-11-02 13:26:00,APPLE,43-2A-78-9B-41-79,-88,10,10
2023-11-02 13:26:55,APPLE,43-2A-78-9B-41-79,-87,25,23
2023-11-02 13:27:25,APPLE,43-2A-78-9B-41-79,-81,8,8
2023-11-02 13:27:50,APPLE,43-2A-78-9B-41-79,-88,25,23
2023-11-02 13:28:05,APPLE,43-2A-78-9B-41-79,-73,19,19
2023-11-02 13:28:10,APPLE,43-2A-78-9B-41-79,-85,23,21
2023-11-02 13:28:15,APPLE,43-2A-78-9B-41-79,-77,19,19
2023-11-02 13:28:20,APPLE,43-2A-78-9B-41-79,-76,11,15
2023-11-02 13:28:25,APPLE,43-2A-78-9B-41-79,-75,11,15
2023-11-02 13:28:30,APPLE,43-2A-78-9B-41-79,-74,10,10
2023-11-02 13:28:35,APPLE,43-2A-78-9B-41-79,-81,18,18
2023-11-02 13:28:40,APPLE,43-2A-78-9B-41-79,-75,19,19
2023-11-02 13:28:45,APPLE,43-2A-78-9B-41-79,-81,18,18
2023-11-02 13:28:50,APPLE,43-2A-78-9B-41-79,-83,25,23
2023-11-02 13:28:55,APPLE,43-2A-78-9B-41-79,-79,20,20
