time,device,mac_id,rss,sector_id,zone_id
2023-11-02 12:20:35,APPLE,43-75-40-3A-70-60,-73,2,4
2023-11-02 12:20:40,APPLE,43-75-40-3A-70-60,-72,5,1
2023-11-02 12:20:50,APPLE,43-75-40-3A-70-60,-63,3,3
2023-11-02 12:20:55,APPLE,43-75-40-3A-70-60,-60,3,3
2023-11-02 12:21:00,APPLE,43-75-40-3A-70-60,-65,2,4
2023-11-02 12:21:05,APPLE,43-75-40-3A-70-60,-65,3,3
2023-11-02 12:21:10,APPLE,43-75-40-3A-70-60,-64,2,4
2023-11-02 12:21:15,APPLE,43-75-40-3A-70-60,-61,2,4
2023-11-02 12:21:20,APPLE,43-75-40-3A-70-60,-68,3,3
2023-11-02 12:21:25,APPLE,43-75-40-3A-70-60,-64,2,4
2023-11-02 12:21:30,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:21:35,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:21:40,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:21:50,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:21:55,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:22:00,APPLE,43-75-40-3A-70-60,-64,2,4
2023-11-02 12:22:05,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:22:10,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:22:15,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:22:20,APPLE,43-75-40-3A-70-60,-63,2,4
2023-11-02 12:22:25,APPLE,43-75-40-3A-70-60,-71,3,3
2023-11-02 12:22:35,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:22:40,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:22:45,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:22:50,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:22:55,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:23:00,APPLE,43-75-40-3A-70-60,-64,1,5
2023-11-02 12:23:05,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:23:10,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:23:15,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:23:20,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:23:25,APPLE,43-75-40-3A-70-60,-72,1,5
2023-11-02 12:25:15,APPLE,43-75-40-3A-70-60,-68,3,3
2023-11-02 12:25:55,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:26:00,APPLE,43-75-40-3A-70-60,-62,2,4
2023-11-02 12:26:05,APPLE,43-75-40-3A-70-60,-63,2,4
2023-11-02 12:26:10,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:26:15,APPLE,43-75-40-3A-70-60,-63,2,4
2023-11-02 12:26:20,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:26:25,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:26:30,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:26:35,APPLE,43-75-40-3A-70-60,-66,2,4
2023-11-02 12:26:40,APPLE,43-75-40-3A-70-60,-73,7,7
2023-11-02 12:26:45,APPLE,43-75-40-3A-70-60,-66,2,4
2023-11-02 12:26:50,APPLE,43-75-40-3A-70-60,-65,2,4
2023-11-02 12:26:55,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:27:00,APPLE,43-75-40-3A-70-60,-63,1,5
2023-11-02 12:27:05,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:27:10,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:27:15,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:27:20,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:27:25,APPLE,43-75-40-3A-70-60,-75,1,5
2023-11-02 12:27:30,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:27:35,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:27:40,APPLE,43-75-40-3A-70-60,-65,2,4
2023-11-02 12:27:45,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:27:50,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:27:55,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:28:00,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:28:05,APPLE,43-75-40-3A-70-60,-70,2,4
2023-11-02 12:28:10,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:28:15,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:28:20,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:28:25,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:28:30,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:28:35,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:28:40,APPLE,43-75-40-3A-70-60,-61,1,5
2023-11-02 12:28:50,APPLE,43-75-40-3A-70-60,-66,2,4
2023-11-02 12:29:50,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:31:05,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:31:40,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:31:45,APPLE,43-75-40-3A-70-60,-65,2,4
2023-11-02 12:31:50,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:31:55,APPLE,43-75-40-3A-70-60,-80,15,11
2023-11-02 12:32:00,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:32:05,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:32:10,APPLE,43-75-40-3A-70-60,-73,3,3
2023-11-02 12:32:15,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:32:20,APPLE,43-75-40-3A-70-60,-69,2,4
2023-11-02 12:32:25,APPLE,43-75-40-3A-70-60,-63,1,5
2023-11-02 12:32:30,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:32:35,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:32:40,APPLE,43-75-40-3A-70-60,-69,2,4
2023-11-02 12:32:45,APPLE,43-75-40-3A-70-60,-71,2,4
2023-11-02 12:32:50,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:32:55,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:33:00,APPLE,43-75-40-3A-70-60,-71,3,3
2023-11-02 12:33:05,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:33:10,APPLE,43-75-40-3A-70-60,-79,4,2
2023-11-02 12:33:15,APPLE,43-75-40-3A-70-60,-72,2,4
2023-11-02 12:33:20,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:33:25,APPLE,43-75-40-3A-70-60,-80,9,9
2023-11-02 12:33:30,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:33:35,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:33:40,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:33:45,APPLE,43-75-40-3A-70-60,-74,3,3
2023-11-02 12:33:50,APPLE,43-75-40-3A-70-60,-74,3,3
2023-11-02 12:33:55,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:34:00,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:34:05,APPLE,43-75-40-3A-70-60,-74,3,3
2023-11-02 12:34:10,APPLE,43-75-40-3A-70-60,-72,3,3
2023-11-02 12:34:15,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:34:20,APPLE,43-75-40-3A-70-60,-74,1,5
2023-11-02 12:34:25,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:34:30,APPLE,43-75-40-3A-70-60,-71,3,3
2023-11-02 12:34:35,APPLE,43-75-40-3A-70-60,-64,1,5
2023-11-02 12:34:40,APPLE,43-75-40-3A-70-60,-70,2,4
2023-11-02 12:34:45,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:34:50,APPLE,43-75-40-3A-70-60,-70,2,4
2023-11-02 12:34:55,APPLE,43-75-40-3A-70-60,-72,2,4
2023-11-02 12:35:00,APPLE,43-75-40-3A-70-60,-68,2,4
2023-11-02 12:35:05,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:35:10,APPLE,43-75-40-3A-70-60,-66,2,4
2023-11-02 12:35:15,APPLE,43-75-40-3A-70-60,-71,2,4
2023-11-02 12:35:20,APPLE,43-75-40-3A-70-60,-73,2,4
2023-11-02 12:35:25,APPLE,43-75-40-3A-70-60,-69,2,4
2023-11-02 12:35:30,APPLE,43-75-40-3A-70-60,-69,3,3
2023-11-02 12:35:45,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:35:50,APPLE,43-75-40-3A-70-60,-67,3,3
2023-11-02 12:35:55,APPLE,43-75-40-3A-70-60,-67,3,3
2023-11-02 12:36:00,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:36:05,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:36:10,APPLE,43-75-40-3A-70-60,-69,2,4
2023-11-02 12:36:15,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:36:20,APPLE,43-75-40-3A-70-60,-70,1,5
2023-11-02 12:36:25,APPLE,43-75-40-3A-70-60,-64,2,4
2023-11-02 12:36:30,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:36:35,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:36:40,APPLE,43-75-40-3A-70-60,-68,1,5
2023-11-02 12:36:45,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:36:50,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:36:55,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:37:10,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:37:15,APPLE,43-75-40-3A-70-60,-64,2,4
2023-11-02 12:37:20,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:37:25,APPLE,43-75-40-3A-70-60,-65,1,5
2023-11-02 12:37:30,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:37:35,APPLE,43-75-40-3A-70-60,-67,2,4
2023-11-02 12:37:40,APPLE,43-75-40-3A-70-60,-71,1,5
2023-11-02 12:37:45,APPLE,43-75-40-3A-70-60,-66,1,5
2023-11-02 12:37:50,APPLE,43-75-40-3A-70-60,-66,2,4
2023-11-02 12:37:55,APPLE,43-75-40-3A-70-60,-75,1,5
2023-11-02 12:39:15,APPLE,43-75-40-3A-70-60,-69,1,5
2023-11-02 12:39:20,APPLE,43-75-40-3A-70-60,-67,1,5
2023-11-02 12:39:45,APPLE,43-75-40-3A-70-60,-70,1,5
