time,device,mac_id,rss,sector_id,zone_id
2023-11-02 12:28:30,APPLE,4B-52-8E-98-17-26,-76,3,3
2023-11-02 12:28:35,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:28:40,APPLE,4B-52-8E-98-17-26,-63,7,7
2023-11-02 12:28:45,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:28:50,APPLE,4B-52-8E-98-17-26,-69,7,7
2023-11-02 12:28:55,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:29:00,APPLE,4B-52-8E-98-17-26,-63,7,7
2023-11-02 12:29:05,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:29:10,APPLE,4B-52-8E-98-17-26,-63,7,7
2023-11-02 12:29:15,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:29:20,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:29:25,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:29:30,APPLE,4B-52-8E-98-17-26,-69,7,7
2023-11-02 12:29:35,APPLE,4B-52-8E-98-17-26,-63,7,7
2023-11-02 12:29:40,APPLE,4B-52-8E-98-17-26,-67,7,7
2023-11-02 12:29:45,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:29:50,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:29:55,APPLE,4B-52-8E-98-17-26,-67,3,3
2023-11-02 12:30:00,APPLE,4B-52-8E-98-17-26,-63,7,7
2023-11-02 12:30:05,APPLE,4B-52-8E-98-17-26,-67,7,7
2023-11-02 12:30:10,APPLE,4B-52-8E-98-17-26,-64,7,7
2023-11-02 12:30:15,APPLE,4B-52-8E-98-17-26,-64,7,7
2023-11-02 12:30:20,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:30:25,APPLE,4B-52-8E-98-17-26,-64,7,7
2023-11-02 12:30:30,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:30:35,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:30:40,APPLE,4B-52-8E-98-17-26,-68,7,7
2023-11-02 12:30:45,APPLE,4B-52-8E-98-17-26,-69,7,7
2023-11-02 12:30:50,APPLE,4B-52-8E-98-17-26,-73,7,7
2023-11-02 12:30:55,APPLE,4B-52-8E-98-17-26,-67,7,7
2023-11-02 12:31:00,APPLE,4B-52-8E-98-17-26,-66,7,7
2023-11-02 12:31:05,APPLE,4B-52-8E-98-17-26,-67,7,7
2023-11-02 12:31:10,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:31:15,APPLE,4B-52-8E-98-17-26,-71,3,3
2023-11-02 12:31:20,APPLE,4B-52-8E-98-17-26,-67,7,7
2023-11-02 12:31:25,APPLE,4B-52-8E-98-17-26,-68,7,7
2023-11-02 12:31:30,APPLE,4B-52-8E-98-17-26,-65,7,7
2023-11-02 12:31:35,APPLE,4B-52-8E-98-17-26,-66,7,7
