time,device,mac_id,rss,sector_id,zone_id
2023-11-02 11:32:30,APPLE,4E-D1-01-9C-3D-03,-83,9,9
2023-11-02 11:32:35,APPLE,4E-D1-01-9C-3D-03,-73,11,15
2023-11-02 11:32:55,APPLE,4E-D1-01-9C-3D-03,-74,11,15
2023-11-02 11:33:00,APPLE,4E-D1-01-9C-3D-03,-71,12,14
2023-11-02 11:33:05,APPLE,4E-D1-01-9C-3D-03,-72,12,14
2023-11-02 11:33:10,APPLE,4E-D1-01-9C-3D-03,-72,12,14
2023-11-02 11:35:10,APPLE,4E-D1-01-9C-3D-03,-68,12,14
2023-11-02 11:35:15,APPLE,4E-D1-01-9C-3D-03,-67,11,15
2023-11-02 11:35:20,APPLE,4E-D1-01-9C-3D-03,-66,11,15
2023-11-02 11:35:25,APPLE,4E-D1-01-9C-3D-03,-66,11,15
2023-11-02 11:35:30,APPLE,4E-D1-01-9C-3D-03,-65,11,15
2023-11-02 11:35:35,APPLE,4E-D1-01-9C-3D-03,-67,12,14
2023-11-02 11:35:40,APPLE,4E-D1-01-9C-3D-03,-64,11,15
2023-11-02 11:35:50,APPLE,4E-D1-01-9C-3D-03,-63,11,15
2023-11-02 11:35:55,APPLE,4E-D1-01-9C-3D-03,-70,11,15
2023-11-02 11:36:05,APPLE,4E-D1-01-9C-3D-03,-80,17,17
2023-11-02 11:36:10,APPLE,4E-D1-01-9C-3D-03,-73,12,14
2023-11-02 11:36:15,APPLE,4E-D1-01-9C-3D-03,-70,11,15
2023-11-02 11:36:20,APPLE,4E-D1-01-9C-3D-03,-76,12,14
2023-11-02 11:36:25,APPLE,4E-D1-01-9C-3D-03,-76,12,14
2023-11-02 11:36:30,APPLE,4E-D1-01-9C-3D-03,-87,1,5
2023-11-02 11:36:35,APPLE,4E-D1-01-9C-3D-03,-83,7,7
2023-11-02 11:37:05,APPLE,4E-D1-01-9C-3D-03,-77,12,14
2023-11-02 11:37:20,APPLE,4E-D1-01-9C-3D-03,-75,12,14
