time,device,mac_id,rss,sector_id,zone_id
2023-11-02 10:51:40,APPLE,51-E6-56-8C-44-C1,-84,22,21
2023-11-02 10:51:55,APPLE,51-E6-56-8C-44-C1,-79,22,21
2023-11-02 11:01:25,APPLE,51-E6-56-8C-44-C1,-77,22,21
2023-11-02 11:02:00,APPLE,51-E6-56-8C-44-C1,-78,22,21
2023-11-02 11:02:05,APPLE,51-E6-56-8C-44-C1,-84,23,21
2023-11-02 11:02:10,APPLE,51-E6-56-8C-44-C1,-81,22,21
2023-11-02 11:02:15,APPLE,51-E6-56-8C-44-C1,-79,16,16
2023-11-02 11:02:25,APPLE,51-E6-56-8C-44-C1,-84,22,21
2023-11-02 11:02:45,APPLE,51-E6-56-8C-44-C1,-75,22,21
2023-11-02 11:03:00,APPLE,51-E6-56-8C-44-C1,-85,23,21
2023-11-02 11:03:05,APPLE,51-E6-56-8C-44-C1,-86,23,21
2023-11-02 11:03:35,APPLE,51-E6-56-8C-44-C1,-82,23,21
2023-11-02 11:04:05,APPLE,51-E6-56-8C-44-C1,-76,22,21
2023-11-02 11:14:45,APPLE,51-E6-56-8C-44-C1,-91,24,22
