time,device,mac_id,rss,sector_id,zone_id
2023-11-02 17:03:55,APPLE,52-4D-D2-9A-C5-E9,-77,20,20
2023-11-02 17:04:00,APPLE,52-4D-D2-9A-C5-E9,-75,12,14
2023-11-02 17:04:05,APPLE,52-4D-D2-9A-C5-E9,-79,9,9
2023-11-02 17:04:10,APPLE,52-4D-D2-9A-C5-E9,-79,20,20
2023-11-02 17:04:15,APPLE,52-4D-D2-9A-C5-E9,-75,12,14
2023-11-02 17:04:20,APPLE,52-4D-D2-9A-C5-E9,-75,12,14
2023-11-02 17:04:25,APPLE,52-4D-D2-9A-C5-E9,-78,20,20
2023-11-02 17:04:30,APPLE,52-4D-D2-9A-C5-E9,-79,13,13
2023-11-02 17:04:35,APPLE,52-4D-D2-9A-C5-E9,-73,11,15
2023-11-02 17:04:40,APPLE,52-4D-D2-9A-C5-E9,-73,11,15
2023-11-02 17:04:45,APPLE,52-4D-D2-9A-C5-E9,-78,20,20
2023-11-02 17:04:50,APPLE,52-4D-D2-9A-C5-E9,-76,20,20
2023-11-02 17:04:55,APPLE,52-4D-D2-9A-C5-E9,-77,20,20
2023-11-02 17:05:00,APPLE,52-4D-D2-9A-C5-E9,-74,11,15
2023-11-02 17:05:05,APPLE,52-4D-D2-9A-C5-E9,-77,12,14
2023-11-02 17:05:10,APPLE,52-4D-D2-9A-C5-E9,-80,20,20
2023-11-02 17:05:15,APPLE,52-4D-D2-9A-C5-E9,-85,19,19
2023-11-02 17:05:25,APPLE,52-4D-D2-9A-C5-E9,-70,12,14
2023-11-02 17:05:30,APPLE,52-4D-D2-9A-C5-E9,-84,20,20
2023-11-02 17:05:35,APPLE,52-4D-D2-9A-C5-E9,-69,12,14
2023-11-02 17:05:40,APPLE,52-4D-D2-9A-C5-E9,-70,12,14
2023-11-02 17:05:45,APPLE,52-4D-D2-9A-C5-E9,-73,12,14
2023-11-02 17:05:50,APPLE,52-4D-D2-9A-C5-E9,-73,12,14
2023-11-02 17:05:55,APPLE,52-4D-D2-9A-C5-E9,-73,12,14
2023-11-02 17:06:00,APPLE,52-4D-D2-9A-C5-E9,-77,20,20
2023-11-02 17:06:05,APPLE,52-4D-D2-9A-C5-E9,-77,12,14
2023-11-02 17:06:10,APPLE,52-4D-D2-9A-C5-E9,-77,20,20
2023-11-02 17:06:15,APPLE,52-4D-D2-9A-C5-E9,-75,12,14
2023-11-02 17:06:20,APPLE,52-4D-D2-9A-C5-E9,-76,12,14
2023-11-02 17:06:25,APPLE,52-4D-D2-9A-C5-E9,-73,12,14
2023-11-02 17:06:30,APPLE,52-4D-D2-9A-C5-E9,-74,12,14
2023-11-02 17:06:35,APPLE,52-4D-D2-9A-C5-E9,-74,12,14
2023-11-02 17:06:40,APPLE,52-4D-D2-9A-C5-E9,-73,12,14
2023-11-02 17:06:45,APPLE,52-4D-D2-9A-C5-E9,-75,12,14
2023-11-02 17:06:50,APPLE,52-4D-D2-9A-C5-E9,-77,12,14
2023-11-02 17:06:55,APPLE,52-4D-D2-9A-C5-E9,-79,14,12
2023-11-02 17:07:00,APPLE,52-4D-D2-9A-C5-E9,-78,12,14
2023-11-02 17:07:05,APPLE,52-4D-D2-9A-C5-E9,-74,12,14
2023-11-02 17:07:10,APPLE,52-4D-D2-9A-C5-E9,-80,10,10
2023-11-02 17:07:15,APPLE,52-4D-D2-9A-C5-E9,-85,11,15
2023-11-02 17:07:20,APPLE,52-4D-D2-9A-C5-E9,-72,12,14
2023-11-02 17:07:25,APPLE,52-4D-D2-9A-C5-E9,-77,13,13
2023-11-02 17:07:30,APPLE,52-4D-D2-9A-C5-E9,-73,20,20
2023-11-02 17:07:45,APPLE,52-4D-D2-9A-C5-E9,-77,20,20
2023-11-02 17:07:50,APPLE,52-4D-D2-9A-C5-E9,-82,12,14
2023-11-02 17:07:55,APPLE,52-4D-D2-9A-C5-E9,-84,1,5
2023-11-02 17:08:00,APPLE,52-4D-D2-9A-C5-E9,-75,19,19
2023-11-02 17:08:05,APPLE,52-4D-D2-9A-C5-E9,-86,1,5
2023-11-02 17:08:10,APPLE,52-4D-D2-9A-C5-E9,-78,19,19
2023-11-02 17:08:15,APPLE,52-4D-D2-9A-C5-E9,-78,19,19
2023-11-02 17:08:20,APPLE,52-4D-D2-9A-C5-E9,-78,19,19
2023-11-02 17:08:25,APPLE,52-4D-D2-9A-C5-E9,-74,11,15
2023-11-02 17:08:35,APPLE,52-4D-D2-9A-C5-E9,-78,19,19
2023-11-02 17:08:40,APPLE,52-4D-D2-9A-C5-E9,-87,20,20
2023-11-02 17:08:45,APPLE,52-4D-D2-9A-C5-E9,-75,20,20
2023-11-02 17:08:50,APPLE,52-4D-D2-9A-C5-E9,-73,20,20
2023-11-02 17:08:55,APPLE,52-4D-D2-9A-C5-E9,-75,13,13
2023-11-02 17:09:00,APPLE,52-4D-D2-9A-C5-E9,-76,20,20
2023-11-02 17:09:05,APPLE,52-4D-D2-9A-C5-E9,-75,11,15
