time,device,mac_id,rss,sector_id,zone_id
2023-11-02 14:17:40,APPLE,5A-3B-B5-29-92-E3,-81,9,9
2023-11-02 14:17:45,APPLE,5A-3B-B5-29-92-E3,-62,1,5
2023-11-02 14:17:50,APPLE,5A-3B-B5-29-92-E3,-62,1,5
2023-11-02 14:18:00,APPLE,5A-3B-B5-29-92-E3,-70,1,5
2023-11-02 14:18:15,APPLE,5A-3B-B5-29-92-E3,-73,10,10
2023-11-02 14:18:20,APPLE,5A-3B-B5-29-92-E3,-74,10,10
2023-11-02 14:18:30,APPLE,5A-3B-B5-29-92-E3,-80,10,10
2023-11-02 14:18:35,APPLE,5A-3B-B5-29-92-E3,-74,12,14
2023-11-02 14:18:40,APPLE,5A-3B-B5-29-92-E3,-73,20,20
2023-11-02 14:18:45,APPLE,5A-3B-B5-29-92-E3,-75,20,20
2023-11-02 14:18:50,APPLE,5A-3B-B5-29-92-E3,-80,9,9
2023-11-02 14:19:15,APPLE,5A-3B-B5-29-92-E3,-82,9,9
2023-11-02 14:19:20,APPLE,5A-3B-B5-29-92-E3,-75,1,5
2023-11-02 14:19:30,APPLE,5A-3B-B5-29-92-E3,-83,2,4
