time,device,mac_id,rss,sector_id,zone_id
2023-11-02 15:49:35,APPLE,5D-EC-F6-21-3C-9F,-88,22,21
2023-11-02 15:50:40,APPLE,5D-EC-F6-21-3C-9F,-90,13,13
2023-11-02 15:51:10,APPLE,5D-EC-F6-21-3C-9F,-92,14,12
2023-11-02 15:51:20,APPLE,5D-EC-F6-21-3C-9F,-83,12,14
2023-11-02 15:52:05,APPLE,5D-EC-F6-21-3C-9F,-87,8,8
2023-11-02 15:52:30,APPLE,5D-EC-F6-21-3C-9F,-85,23,21
2023-11-02 15:54:15,APPLE,5D-EC-F6-21-3C-9F,-89,6,6
2023-11-02 15:54:25,APPLE,5D-EC-F6-21-3C-9F,-78,22,21
2023-11-02 15:54:45,APPLE,5D-EC-F6-21-3C-9F,-88,22,21
2023-11-02 15:54:55,APPLE,5D-EC-F6-21-3C-9F,-82,16,16
2023-11-02 15:56:10,APPLE,5D-EC-F6-21-3C-9F,-90,22,21
2023-11-02 15:57:25,APPLE,5D-EC-F6-21-3C-9F,-82,13,13
2023-11-02 15:57:30,APPLE,5D-EC-F6-21-3C-9F,-88,23,21
2023-11-02 15:58:45,APPLE,5D-EC-F6-21-3C-9F,-85,12,14
2023-11-02 15:59:05,APPLE,5D-EC-F6-21-3C-9F,-81,19,19
