time,device,mac_id,rss,sector_id,zone_id
2023-11-02 10:59:00,APPLE,5F-24-8C-AE-51-1D,-78,25,23
2023-11-02 10:59:10,APPLE,5F-24-8C-AE-51-1D,-72,25,23
2023-11-02 10:59:20,APPLE,5F-24-8C-AE-51-1D,-74,25,23
2023-11-02 10:59:30,APPLE,5F-24-8C-AE-51-1D,-74,25,23
2023-11-02 10:59:35,APPLE,5F-24-8C-AE-51-1D,-72,25,23
2023-11-02 10:59:40,APPLE,5F-24-8C-AE-51-1D,-79,25,23
2023-11-02 10:59:45,APPLE,5F-24-8C-AE-51-1D,-75,25,23
2023-11-02 10:59:50,APPLE,5F-24-8C-AE-51-1D,-76,24,22
2023-11-02 10:59:55,APPLE,5F-24-8C-AE-51-1D,-76,25,23
2023-11-02 11:00:05,APPLE,5F-24-8C-AE-51-1D,-82,24,22
2023-11-02 11:00:10,APPLE,5F-24-8C-AE-51-1D,-86,24,22
2023-11-02 11:00:15,APPLE,5F-24-8C-AE-51-1D,-78,24,22
2023-11-02 11:00:20,APPLE,5F-24-8C-AE-51-1D,-82,23,21
2023-11-02 11:00:25,APPLE,5F-24-8C-AE-51-1D,-69,19,19
2023-11-02 11:00:30,APPLE,5F-24-8C-AE-51-1D,-70,17,17
2023-11-02 11:00:35,APPLE,5F-24-8C-AE-51-1D,-70,17,17
2023-11-02 11:00:40,APPLE,5F-24-8C-AE-51-1D,-70,17,17
2023-11-02 11:00:45,APPLE,5F-24-8C-AE-51-1D,-70,17,17
2023-11-02 11:00:55,APPLE,5F-24-8C-AE-51-1D,-69,14,12
2023-11-02 11:01:00,APPLE,5F-24-8C-AE-51-1D,-61,17,17
2023-11-02 11:01:05,APPLE,5F-24-8C-AE-51-1D,-62,17,17
2023-11-02 11:01:10,APPLE,5F-24-8C-AE-51-1D,-63,18,18
2023-11-02 11:01:15,APPLE,5F-24-8C-AE-51-1D,-60,18,18
2023-11-02 11:01:20,APPLE,5F-24-8C-AE-51-1D,-53,18,18
2023-11-02 11:01:25,APPLE,5F-24-8C-AE-51-1D,-69,13,13
2023-11-02 11:01:30,APPLE,5F-24-8C-AE-51-1D,-60,18,18
2023-11-02 11:01:35,APPLE,5F-24-8C-AE-51-1D,-62,18,18
2023-11-02 11:01:40,APPLE,5F-24-8C-AE-51-1D,-64,13,13
2023-11-02 11:01:45,APPLE,5F-24-8C-AE-51-1D,-67,19,19
2023-11-02 11:01:50,APPLE,5F-24-8C-AE-51-1D,-72,12,14
2023-11-02 11:01:55,APPLE,5F-24-8C-AE-51-1D,-70,13,13
2023-11-02 11:02:00,APPLE,5F-24-8C-AE-51-1D,-67,12,14
2023-11-02 11:02:05,APPLE,5F-24-8C-AE-51-1D,-71,18,18
2023-11-02 11:02:10,APPLE,5F-24-8C-AE-51-1D,-67,13,13
2023-11-02 11:02:15,APPLE,5F-24-8C-AE-51-1D,-65,12,14
2023-11-02 11:02:20,APPLE,5F-24-8C-AE-51-1D,-77,12,14
2023-11-02 11:02:25,APPLE,5F-24-8C-AE-51-1D,-75,12,14
2023-11-02 11:02:30,APPLE,5F-24-8C-AE-51-1D,-66,12,14
2023-11-02 11:02:35,APPLE,5F-24-8C-AE-51-1D,-70,12,14
2023-11-02 11:02:40,APPLE,5F-24-8C-AE-51-1D,-71,11,15
2023-11-02 11:02:45,APPLE,5F-24-8C-AE-51-1D,-76,13,13
2023-11-02 11:02:50,APPLE,5F-24-8C-AE-51-1D,-62,12,14
2023-11-02 11:02:55,APPLE,5F-24-8C-AE-51-1D,-63,12,14
2023-11-02 11:03:00,APPLE,5F-24-8C-AE-51-1D,-67,12,14
2023-11-02 11:03:05,APPLE,5F-24-8C-AE-51-1D,-68,12,14
2023-11-02 11:03:10,APPLE,5F-24-8C-AE-51-1D,-69,12,14
2023-11-02 11:03:15,APPLE,5F-24-8C-AE-51-1D,-71,12,14
2023-11-02 11:03:20,APPLE,5F-24-8C-AE-51-1D,-66,12,14
2023-11-02 11:03:30,APPLE,5F-24-8C-AE-51-1D,-62,12,14
2023-11-02 11:03:35,APPLE,5F-24-8C-AE-51-1D,-69,12,14
2023-11-02 11:03:40,APPLE,5F-24-8C-AE-51-1D,-69,12,14
2023-11-02 11:03:45,APPLE,5F-24-8C-AE-51-1D,-74,20,20
2023-11-02 11:03:50,APPLE,5F-24-8C-AE-51-1D,-69,12,14
2023-11-02 11:03:55,APPLE,5F-24-8C-AE-51-1D,-72,12,14
2023-11-02 11:04:00,APPLE,5F-24-8C-AE-51-1D,-68,12,14
2023-11-02 11:04:05,APPLE,5F-24-8C-AE-51-1D,-74,19,19
2023-11-02 11:04:10,APPLE,5F-24-8C-AE-51-1D,-64,12,14
2023-11-02 11:04:15,APPLE,5F-24-8C-AE-51-1D,-71,12,14
2023-11-02 11:04:20,APPLE,5F-24-8C-AE-51-1D,-63,11,15
2023-11-02 11:04:25,APPLE,5F-24-8C-AE-51-1D,-65,11,15
2023-11-02 11:04:30,APPLE,5F-24-8C-AE-51-1D,-65,11,15
2023-11-02 11:04:35,APPLE,5F-24-8C-AE-51-1D,-72,11,15
2023-11-02 11:04:40,APPLE,5F-24-8C-AE-51-1D,-75,8,8
2023-11-02 11:04:45,APPLE,5F-24-8C-AE-51-1D,-75,8,8
2023-11-02 11:04:50,APPLE,5F-24-8C-AE-51-1D,-75,8,8
2023-11-02 11:04:55,APPLE,5F-24-8C-AE-51-1D,-74,20,20
2023-11-02 11:05:00,APPLE,5F-24-8C-AE-51-1D,-77,10,10
