time,device,mac_id,rss,sector_id,zone_id
2023-11-02 15:59:30,APPLE,61-CD-F4-4F-4A-FE,-68,19,19
2023-11-02 15:59:35,APPLE,61-CD-F4-4F-4A-FE,-68,20,20
2023-11-02 16:05:35,APPLE,61-CD-F4-4F-4A-FE,-63,19,19
2023-11-02 16:05:40,APPLE,61-CD-F4-4F-4A-FE,-67,19,19
2023-11-02 16:05:45,APPLE,61-CD-F4-4F-4A-FE,-70,20,20
2023-11-02 16:05:50,APPLE,61-CD-F4-4F-4A-FE,-79,11,15
2023-11-02 16:06:00,APPLE,61-CD-F4-4F-4A-FE,-65,19,19
2023-11-02 16:14:40,APPLE,61-CD-F4-4F-4A-FE,-67,20,20
2023-11-02 16:14:45,APPLE,61-CD-F4-4F-4A-FE,-62,19,19
2023-11-02 16:14:55,APPLE,61-CD-F4-4F-4A-FE,-62,19,19
2023-11-02 16:15:00,APPLE,61-CD-F4-4F-4A-FE,-65,19,19
2023-11-02 16:15:05,APPLE,61-CD-F4-4F-4A-FE,-61,19,19
2023-11-02 16:16:05,APPLE,61-CD-F4-4F-4A-FE,-72,8,8
2023-11-02 16:16:10,APPLE,61-CD-F4-4F-4A-FE,-73,9,9
2023-11-02 16:16:15,APPLE,61-CD-F4-4F-4A-FE,-71,20,20
