time,device,mac_id,rss,sector_id,zone_id
2023-11-02 13:36:30,APPLE,67-03-66-32-84-39,-68,19,19
2023-11-02 13:36:35,APPLE,67-03-66-32-84-39,-70,19,19
2023-11-02 13:36:40,APPLE,67-03-66-32-84-39,-72,19,19
2023-11-02 13:36:45,APPLE,67-03-66-32-84-39,-64,19,19
2023-11-02 13:37:10,APPLE,67-03-66-32-84-39,-78,19,19
2023-11-02 13:37:55,APPLE,67-03-66-32-84-39,-67,20,20
2023-11-02 13:38:15,APPLE,67-03-66-32-84-39,-84,10,10
2023-11-02 13:47:10,APPLE,67-03-66-32-84-39,-75,11,15
2023-11-02 13:47:15,APPLE,67-03-66-32-84-39,-73,19,19
2023-11-02 13:47:35,APPLE,67-03-66-32-84-39,-80,16,16
2023-11-02 13:49:45,APPLE,67-03-66-32-84-39,-80,11,15
2023-11-02 13:53:15,APPLE,67-03-66-32-84-39,-78,19,19
2023-11-02 13:53:20,APPLE,67-03-66-32-84-39,-73,11,15
2023-11-02 13:54:15,APPLE,67-03-66-32-84-39,-80,20,20
2023-11-02 13:54:25,APPLE,67-03-66-32-84-39,-77,20,20
2023-11-02 13:54:30,APPLE,67-03-66-32-84-39,-87,19,19
2023-11-02 13:54:55,APPLE,67-03-66-32-84-39,-81,11,15
2023-11-02 13:55:05,APPLE,67-03-66-32-84-39,-84,24,22
2023-11-02 13:55:35,APPLE,67-03-66-32-84-39,-84,20,20
2023-11-02 13:55:40,APPLE,67-03-66-32-84-39,-75,11,15
2023-11-02 13:55:45,APPLE,67-03-66-32-84-39,-74,11,15
2023-11-02 13:56:00,APPLE,67-03-66-32-84-39,-73,11,15
2023-11-02 13:56:20,APPLE,67-03-66-32-84-39,-73,19,19
2023-11-02 13:56:35,APPLE,67-03-66-32-84-39,-78,11,15
2023-11-02 13:56:50,APPLE,67-03-66-32-84-39,-76,19,19
2023-11-02 13:57:05,APPLE,67-03-66-32-84-39,-73,20,20
2023-11-02 13:57:10,APPLE,67-03-66-32-84-39,-76,11,15
2023-11-02 13:57:50,APPLE,67-03-66-32-84-39,-76,11,15
2023-11-02 13:57:55,APPLE,67-03-66-32-84-39,-80,20,20
2023-11-02 13:58:20,APPLE,67-03-66-32-84-39,-72,11,15
2023-11-02 13:58:35,APPLE,67-03-66-32-84-39,-72,11,15
