time,device,mac_id,rss,sector_id,zone_id
2023-11-02 13:34:10,APPLE,6A-49-40-B3-7F-88,-79,13,13
2023-11-02 13:34:20,APPLE,6A-49-40-B3-7F-88,-73,13,13
2023-11-02 13:34:25,APPLE,6A-49-40-B3-7F-88,-77,13,13
2023-11-02 13:34:35,APPLE,6A-49-40-B3-7F-88,-72,13,13
2023-11-02 13:34:45,APPLE,6A-49-40-B3-7F-88,-75,12,14
2023-11-02 13:34:50,APPLE,6A-49-40-B3-7F-88,-72,8,8
2023-11-02 13:34:55,APPLE,6A-49-40-B3-7F-88,-79,12,14
2023-11-02 13:35:15,APPLE,6A-49-40-B3-7F-88,-79,13,13
2023-11-02 13:35:30,APPLE,6A-49-40-B3-7F-88,-88,10,10
2023-11-02 13:35:40,APPLE,6A-49-40-B3-7F-88,-86,9,9
2023-11-02 13:35:55,APPLE,6A-49-40-B3-7F-88,-79,12,14
2023-11-02 13:36:00,APPLE,6A-49-40-B3-7F-88,-73,13,13
2023-11-02 13:36:05,APPLE,6A-49-40-B3-7F-88,-72,13,13
2023-11-02 13:36:10,APPLE,6A-49-40-B3-7F-88,-71,13,13
2023-11-02 13:36:15,APPLE,6A-49-40-B3-7F-88,-73,8,8
2023-11-02 13:36:25,APPLE,6A-49-40-B3-7F-88,-74,13,13
2023-11-02 13:36:40,APPLE,6A-49-40-B3-7F-88,-80,13,13
2023-11-02 13:36:55,APPLE,6A-49-40-B3-7F-88,-78,8,8
2023-11-02 13:37:00,APPLE,6A-49-40-B3-7F-88,-77,13,13
2023-11-02 13:37:05,APPLE,6A-49-40-B3-7F-88,-77,8,8
2023-11-02 13:37:35,APPLE,6A-49-40-B3-7F-88,-71,8,8
2023-11-02 13:37:50,APPLE,6A-49-40-B3-7F-88,-77,13,13
2023-11-02 13:37:55,APPLE,6A-49-40-B3-7F-88,-81,19,19
2023-11-02 13:38:00,APPLE,6A-49-40-B3-7F-88,-76,13,13
2023-11-02 13:38:05,APPLE,6A-49-40-B3-7F-88,-79,8,8
2023-11-02 13:38:15,APPLE,6A-49-40-B3-7F-88,-72,13,13
2023-11-02 13:38:25,APPLE,6A-49-40-B3-7F-88,-73,13,13
2023-11-02 13:38:30,APPLE,6A-49-40-B3-7F-88,-72,8,8
2023-11-02 13:38:40,APPLE,6A-49-40-B3-7F-88,-87,19,19
2023-11-02 13:38:45,APPLE,6A-49-40-B3-7F-88,-71,8,8
2023-11-02 13:38:55,APPLE,6A-49-40-B3-7F-88,-73,13,13
2023-11-02 13:39:00,APPLE,6A-49-40-B3-7F-88,-82,8,8
2023-11-02 13:39:15,APPLE,6A-49-40-B3-7F-88,-75,8,8
2023-11-02 13:39:20,APPLE,6A-49-40-B3-7F-88,-76,8,8
2023-11-02 13:39:40,APPLE,6A-49-40-B3-7F-88,-74,8,8
2023-11-02 13:39:45,APPLE,6A-49-40-B3-7F-88,-77,8,8
