time,device,mac_id,rss,sector_id,zone_id
2023-11-02 08:45:00,APPLE,6E-4D-6A-DF-55-A4,-74,20,20
2023-11-02 08:45:05,APPLE,6E-4D-6A-DF-55-A4,-70,20,20
2023-11-02 08:45:10,APPLE,6E-4D-6A-DF-55-A4,-70,20,20
2023-11-02 08:45:15,APPLE,6E-4D-6A-DF-55-A4,-72,20,20
2023-11-02 08:45:20,APPLE,6E-4D-6A-DF-55-A4,-76,20,20
2023-11-02 08:45:25,APPLE,6E-4D-6A-DF-55-A4,-80,10,10
2023-11-02 08:45:30,APPLE,6E-4D-6A-DF-55-A4,-82,20,20
2023-11-02 08:45:35,APPLE,6E-4D-6A-DF-55-A4,-84,12,14
2023-11-02 08:45:40,APPLE,6E-4D-6A-DF-55-A4,-86,11,15
2023-11-02 08:46:05,APPLE,6E-4D-6A-DF-55-A4,-90,10,10
2023-11-02 08:46:10,APPLE,6E-4D-6A-DF-55-A4,-93,2,4
2023-11-02 08:46:15,APPLE,6E-4D-6A-DF-55-A4,-86,2,4
2023-11-02 08:46:25,APPLE,6E-4D-6A-DF-55-A4,-88,1,5
2023-11-02 08:46:30,APPLE,6E-4D-6A-DF-55-A4,-88,2,4
2023-11-02 09:00:40,APPLE,6E-4D-6A-DF-55-A4,-91,20,20
2023-11-02 09:02:05,APPLE,6E-4D-6A-DF-55-A4,-90,20,20
2023-11-02 09:02:30,APPLE,6E-4D-6A-DF-55-A4,-86,20,20
