time,device,mac_id,rss,sector_id,zone_id
2023-11-02 09:44:15,APPLE,6F-35-21-5D-41-2B,-60,14,12
2023-11-02 09:44:20,APPLE,6F-35-21-5D-41-2B,-58,17,17
2023-11-02 09:44:25,APPLE,6F-35-21-5D-41-2B,-59,17,17
2023-11-02 09:44:30,APPLE,6F-35-21-5D-41-2B,-64,14,12
2023-11-02 09:44:35,APPLE,6F-35-21-5D-41-2B,-69,14,12
2023-11-02 09:44:40,APPLE,6F-35-21-5D-41-2B,-65,14,12
2023-11-02 09:44:45,APPLE,6F-35-21-5D-41-2B,-63,14,12
2023-11-02 09:44:50,APPLE,6F-35-21-5D-41-2B,-65,7,7
2023-11-02 09:44:55,APPLE,6F-35-21-5D-41-2B,-65,17,17
2023-11-02 09:45:00,APPLE,6F-35-21-5D-41-2B,-63,14,12
2023-11-02 09:45:05,APPLE,6F-35-21-5D-41-2B,-66,18,18
2023-11-02 09:45:10,APPLE,6F-35-21-5D-41-2B,-67,13,13
2023-11-02 09:45:15,APPLE,6F-35-21-5D-41-2B,-68,13,13
2023-11-02 09:45:20,APPLE,6F-35-21-5D-41-2B,-64,12,14
2023-11-02 09:45:25,APPLE,6F-35-21-5D-41-2B,-64,12,14
2023-11-02 09:45:30,APPLE,6F-35-21-5D-41-2B,-63,12,14
2023-11-02 09:45:35,APPLE,6F-35-21-5D-41-2B,-61,20,20
2023-11-02 09:45:40,APPLE,6F-35-21-5D-41-2B,-59,12,14
2023-11-02 09:45:45,APPLE,6F-35-21-5D-41-2B,-60,12,14
2023-11-02 09:45:50,APPLE,6F-35-21-5D-41-2B,-69,20,20
2023-11-02 09:45:55,APPLE,6F-35-21-5D-41-2B,-65,9,9
2023-11-02 09:46:00,APPLE,6F-35-21-5D-41-2B,-65,10,10
2023-11-02 09:46:05,APPLE,6F-35-21-5D-41-2B,-65,10,10
2023-11-02 09:46:10,APPLE,6F-35-21-5D-41-2B,-65,10,10
2023-11-02 09:46:15,APPLE,6F-35-21-5D-41-2B,-65,1,5
2023-11-02 09:46:20,APPLE,6F-35-21-5D-41-2B,-65,1,5
2023-11-02 09:46:25,APPLE,6F-35-21-5D-41-2B,-64,1,5
2023-11-02 09:46:30,APPLE,6F-35-21-5D-41-2B,-63,1,5
2023-11-02 09:46:35,APPLE,6F-35-21-5D-41-2B,-64,1,5
2023-11-02 09:46:40,APPLE,6F-35-21-5D-41-2B,-65,2,4
2023-11-02 09:46:45,APPLE,6F-35-21-5D-41-2B,-67,1,5
2023-11-02 09:46:50,APPLE,6F-35-21-5D-41-2B,-68,2,4
2023-11-02 09:46:55,APPLE,6F-35-21-5D-41-2B,-67,2,4
2023-11-02 09:47:00,APPLE,6F-35-21-5D-41-2B,-66,12,14
2023-11-02 09:47:05,APPLE,6F-35-21-5D-41-2B,-64,2,4
2023-11-02 09:47:10,APPLE,6F-35-21-5D-41-2B,-63,7,7
2023-11-02 09:47:15,APPLE,6F-35-21-5D-41-2B,-63,7,7
2023-11-02 09:47:20,APPLE,6F-35-21-5D-41-2B,-64,7,7
2023-11-02 09:47:25,APPLE,6F-35-21-5D-41-2B,-66,7,7
2023-11-02 09:47:30,APPLE,6F-35-21-5D-41-2B,-68,7,7
2023-11-02 09:47:35,APPLE,6F-35-21-5D-41-2B,-67,7,7
2023-11-02 09:47:40,APPLE,6F-35-21-5D-41-2B,-68,5,1
2023-11-02 09:47:45,APPLE,6F-35-21-5D-41-2B,-65,5,1
2023-11-02 09:47:50,APPLE,6F-35-21-5D-41-2B,-55,5,1
2023-11-02 09:47:55,APPLE,6F-35-21-5D-41-2B,-53,5,1
2023-11-02 09:48:00,APPLE,6F-35-21-5D-41-2B,-57,5,1
2023-11-02 09:48:05,APPLE,6F-35-21-5D-41-2B,-60,5,1
2023-11-02 09:48:10,APPLE,6F-35-21-5D-41-2B,-56,4,2
2023-11-02 09:48:15,APPLE,6F-35-21-5D-41-2B,-57,4,2
2023-11-02 09:48:20,APPLE,6F-35-21-5D-41-2B,-60,5,1
2023-11-02 09:48:25,APPLE,6F-35-21-5D-41-2B,-61,5,1
2023-11-02 09:48:30,APPLE,6F-35-21-5D-41-2B,-62,3,3
2023-11-02 09:48:35,APPLE,6F-35-21-5D-41-2B,-59,3,3
