time,device,mac_id,rss,sector_id,zone_id
2023-11-02 13:44:25,APPLE,73-63-69-A2-81-12,-76,10,10
2023-11-02 13:44:30,APPLE,73-63-69-A2-81-12,-67,11,15
2023-11-02 13:44:35,APPLE,73-63-69-A2-81-12,-68,11,15
2023-11-02 13:44:40,APPLE,73-63-69-A2-81-12,-68,20,20
2023-11-02 13:44:45,APPLE,73-63-69-A2-81-12,-69,11,15
2023-11-02 13:44:50,APPLE,73-63-69-A2-81-12,-71,11,15
2023-11-02 13:44:55,APPLE,73-63-69-A2-81-12,-67,11,15
2023-11-02 13:45:00,APPLE,73-63-69-A2-81-12,-73,19,19
2023-11-02 13:45:05,APPLE,73-63-69-A2-81-12,-82,8,8
2023-11-02 13:45:10,APPLE,73-63-69-A2-81-12,-68,11,15
2023-11-02 13:45:15,APPLE,73-63-69-A2-81-12,-63,20,20
2023-11-02 13:45:20,APPLE,73-63-69-A2-81-12,-61,20,20
2023-11-02 13:45:25,APPLE,73-63-69-A2-81-12,-67,20,20
2023-11-02 13:45:30,APPLE,73-63-69-A2-81-12,-78,20,20
2023-11-02 13:45:35,APPLE,73-63-69-A2-81-12,-79,20,20
2023-11-02 13:45:45,APPLE,73-63-69-A2-81-12,-75,11,15
2023-11-02 13:46:00,APPLE,73-63-69-A2-81-12,-72,20,20
2023-11-02 13:46:05,APPLE,73-63-69-A2-81-12,-66,11,15
2023-11-02 13:46:10,APPLE,73-63-69-A2-81-12,-74,19,19
2023-11-02 13:46:15,APPLE,73-63-69-A2-81-12,-73,11,15
2023-11-02 13:46:20,APPLE,73-63-69-A2-81-12,-72,12,14
2023-11-02 13:46:25,APPLE,73-63-69-A2-81-12,-68,11,15
2023-11-02 13:46:30,APPLE,73-63-69-A2-81-12,-67,11,15
2023-11-02 13:46:35,APPLE,73-63-69-A2-81-12,-66,11,15
2023-11-02 13:46:40,APPLE,73-63-69-A2-81-12,-72,12,14
2023-11-02 13:46:45,APPLE,73-63-69-A2-81-12,-72,11,15
2023-11-02 13:46:50,APPLE,73-63-69-A2-81-12,-67,11,15
2023-11-02 13:46:55,APPLE,73-63-69-A2-81-12,-71,11,15
2023-11-02 13:47:00,APPLE,73-63-69-A2-81-12,-73,20,20
2023-11-02 13:47:05,APPLE,73-63-69-A2-81-12,-73,11,15
2023-11-02 13:47:10,APPLE,73-63-69-A2-81-12,-71,12,14
2023-11-02 13:47:15,APPLE,73-63-69-A2-81-12,-75,11,15
2023-11-02 13:47:20,APPLE,73-63-69-A2-81-12,-71,11,15
