time,device,mac_id,rss,sector_id,zone_id
2023-11-02 12:54:00,APPLE,74-EA-13-C1-97-B7,-75,2,4
2023-11-02 12:54:05,APPLE,74-EA-13-C1-97-B7,-83,5,1
2023-11-02 12:54:10,APPLE,74-EA-13-C1-97-B7,-68,1,5
2023-11-02 12:54:15,APPLE,74-EA-13-C1-97-B7,-68,1,5
2023-11-02 12:54:20,APPLE,74-EA-13-C1-97-B7,-68,1,5
2023-11-02 12:54:25,APPLE,74-EA-13-C1-97-B7,-72,3,3
2023-11-02 12:54:30,APPLE,74-EA-13-C1-97-B7,-79,2,4
2023-11-02 12:54:35,APPLE,74-EA-13-C1-97-B7,-79,2,4
2023-11-02 12:54:40,APPLE,74-EA-13-C1-97-B7,-76,1,5
2023-11-02 12:54:45,APPLE,74-EA-13-C1-97-B7,-79,2,4
2023-11-02 12:54:50,APPLE,74-EA-13-C1-97-B7,-76,10,10
2023-11-02 12:54:55,APPLE,74-EA-13-C1-97-B7,-78,1,5
2023-11-02 12:55:00,APPLE,74-EA-13-C1-97-B7,-78,1,5
2023-11-02 12:55:05,APPLE,74-EA-13-C1-97-B7,-77,3,3
2023-11-02 12:55:10,APPLE,74-EA-13-C1-97-B7,-74,1,5
2023-11-02 12:55:15,APPLE,74-EA-13-C1-97-B7,-73,1,5
2023-11-02 12:55:20,APPLE,74-EA-13-C1-97-B7,-61,1,5
2023-11-02 12:55:25,APPLE,74-EA-13-C1-97-B7,-64,1,5
2023-11-02 12:55:30,APPLE,74-EA-13-C1-97-B7,-62,1,5
2023-11-02 12:55:35,APPLE,74-EA-13-C1-97-B7,-68,1,5
2023-11-02 12:55:40,APPLE,74-EA-13-C1-97-B7,-69,1,5
2023-11-02 12:55:45,APPLE,74-EA-13-C1-97-B7,-74,1,5
2023-11-02 12:55:50,APPLE,74-EA-13-C1-97-B7,-79,5,1
2023-11-02 12:55:55,APPLE,74-EA-13-C1-97-B7,-75,9,9
2023-11-02 12:56:00,APPLE,74-EA-13-C1-97-B7,-79,2,4
2023-11-02 12:56:05,APPLE,74-EA-13-C1-97-B7,-74,3,3
2023-11-02 12:56:10,APPLE,74-EA-13-C1-97-B7,-73,1,5
2023-11-02 12:56:15,APPLE,74-EA-13-C1-97-B7,-79,2,4
2023-11-02 12:56:20,APPLE,74-EA-13-C1-97-B7,-62,3,3
2023-11-02 12:56:25,APPLE,74-EA-13-C1-97-B7,-75,3,3
2023-11-02 12:56:30,APPLE,74-EA-13-C1-97-B7,-73,3,3
2023-11-02 12:56:35,APPLE,74-EA-13-C1-97-B7,-71,3,3
2023-11-02 12:56:40,APPLE,74-EA-13-C1-97-B7,-67,3,3
2023-11-02 12:56:45,APPLE,74-EA-13-C1-97-B7,-64,3,3
2023-11-02 12:56:50,APPLE,74-EA-13-C1-97-B7,-68,3,3
2023-11-02 12:56:55,APPLE,74-EA-13-C1-97-B7,-65,2,4
2023-11-02 12:57:00,APPLE,74-EA-13-C1-97-B7,-71,9,9
