time,device,mac_id,rss,sector_id,zone_id
2023-11-02 13:13:15,APPLE,74-FC-5B-9F-80-D1,-73,8,8
2023-11-02 13:13:20,APPLE,74-FC-5B-9F-80-D1,-72,11,15
2023-11-02 13:13:25,APPLE,74-FC-5B-9F-80-D1,-71,11,15
2023-11-02 13:13:35,APPLE,74-FC-5B-9F-80-D1,-81,9,9
2023-11-02 13:13:40,APPLE,74-FC-5B-9F-80-D1,-86,8,8
2023-11-02 13:13:45,APPLE,74-FC-5B-9F-80-D1,-82,4,2
2023-11-02 13:13:50,APPLE,74-FC-5B-9F-80-D1,-72,10,10
2023-11-02 13:14:05,APPLE,74-FC-5B-9F-80-D1,-77,9,9
2023-11-02 13:14:15,APPLE,74-FC-5B-9F-80-D1,-79,13,13
2023-11-02 13:14:20,APPLE,74-FC-5B-9F-80-D1,-75,8,8
2023-11-02 13:14:25,APPLE,74-FC-5B-9F-80-D1,-72,10,10
2023-11-02 13:14:35,APPLE,74-FC-5B-9F-80-D1,-75,9,9
2023-11-02 13:14:40,APPLE,74-FC-5B-9F-80-D1,-73,11,15
2023-11-02 13:14:45,APPLE,74-FC-5B-9F-80-D1,-81,10,10
2023-11-02 13:15:05,APPLE,74-FC-5B-9F-80-D1,-77,1,5
2023-11-02 13:15:20,APPLE,74-FC-5B-9F-80-D1,-77,1,5
2023-11-02 13:15:25,APPLE,74-FC-5B-9F-80-D1,-74,9,9
2023-11-02 13:15:30,APPLE,74-FC-5B-9F-80-D1,-76,1,5
2023-11-02 13:15:35,APPLE,74-FC-5B-9F-80-D1,-70,11,15
2023-11-02 13:15:40,APPLE,74-FC-5B-9F-80-D1,-88,8,8
2023-11-02 13:15:55,APPLE,74-FC-5B-9F-80-D1,-75,10,10
2023-11-02 13:16:00,APPLE,74-FC-5B-9F-80-D1,-69,1,5
2023-11-02 13:16:05,APPLE,74-FC-5B-9F-80-D1,-82,7,7
2023-11-02 13:16:15,APPLE,74-FC-5B-9F-80-D1,-76,10,10
