time,device,mac_id,rss,sector_id,zone_id
2023-11-02 16:41:35,APPLE,79-F2-DE-83-60-9B,-85,20,20
2023-11-02 16:41:40,APPLE,79-F2-DE-83-60-9B,-78,9,9
2023-11-02 16:41:45,APPLE,79-F2-DE-83-60-9B,-70,20,20
2023-11-02 16:41:50,APPLE,79-F2-DE-83-60-9B,-63,20,20
2023-11-02 16:41:55,APPLE,79-F2-DE-83-60-9B,-63,20,20
2023-11-02 16:42:00,APPLE,79-F2-DE-83-60-9B,-63,20,20
2023-11-02 16:42:05,APPLE,79-F2-DE-83-60-9B,-68,19,19
2023-11-02 16:42:10,APPLE,79-F2-DE-83-60-9B,-68,11,15
2023-11-02 16:42:15,APPLE,79-F2-DE-83-60-9B,-59,12,14
2023-11-02 16:42:20,APPLE,79-F2-DE-83-60-9B,-55,12,14
2023-11-02 16:42:25,APPLE,79-F2-DE-83-60-9B,-60,12,14
2023-11-02 16:42:30,APPLE,79-F2-DE-83-60-9B,-71,19,19
2023-11-02 16:42:35,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:42:40,APPLE,79-F2-DE-83-60-9B,-66,12,14
2023-11-02 16:42:45,APPLE,79-F2-DE-83-60-9B,-70,13,13
2023-11-02 16:42:50,APPLE,79-F2-DE-83-60-9B,-66,12,14
2023-11-02 16:42:55,APPLE,79-F2-DE-83-60-9B,-65,12,14
2023-11-02 16:43:00,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:43:05,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:43:10,APPLE,79-F2-DE-83-60-9B,-63,12,14
2023-11-02 16:43:15,APPLE,79-F2-DE-83-60-9B,-61,12,14
2023-11-02 16:43:20,APPLE,79-F2-DE-83-60-9B,-65,12,14
2023-11-02 16:43:25,APPLE,79-F2-DE-83-60-9B,-68,12,14
2023-11-02 16:43:30,APPLE,79-F2-DE-83-60-9B,-70,12,14
2023-11-02 16:43:35,APPLE,79-F2-DE-83-60-9B,-72,12,14
2023-11-02 16:43:40,APPLE,79-F2-DE-83-60-9B,-69,12,14
2023-11-02 16:43:45,APPLE,79-F2-DE-83-60-9B,-68,11,15
2023-11-02 16:43:50,APPLE,79-F2-DE-83-60-9B,-67,12,14
2023-11-02 16:43:55,APPLE,79-F2-DE-83-60-9B,-67,12,14
2023-11-02 16:44:00,APPLE,79-F2-DE-83-60-9B,-67,12,14
2023-11-02 16:44:05,APPLE,79-F2-DE-83-60-9B,-70,11,15
2023-11-02 16:44:10,APPLE,79-F2-DE-83-60-9B,-68,12,14
2023-11-02 16:44:15,APPLE,79-F2-DE-83-60-9B,-68,12,14
2023-11-02 16:44:20,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:44:25,APPLE,79-F2-DE-83-60-9B,-70,11,15
2023-11-02 16:44:30,APPLE,79-F2-DE-83-60-9B,-68,12,14
2023-11-02 16:44:35,APPLE,79-F2-DE-83-60-9B,-65,12,14
2023-11-02 16:44:40,APPLE,79-F2-DE-83-60-9B,-63,12,14
2023-11-02 16:44:45,APPLE,79-F2-DE-83-60-9B,-70,12,14
2023-11-02 16:44:50,APPLE,79-F2-DE-83-60-9B,-69,12,14
2023-11-02 16:44:55,APPLE,79-F2-DE-83-60-9B,-70,11,15
2023-11-02 16:45:00,APPLE,79-F2-DE-83-60-9B,-68,12,14
2023-11-02 16:45:05,APPLE,79-F2-DE-83-60-9B,-68,13,13
2023-11-02 16:45:10,APPLE,79-F2-DE-83-60-9B,-66,12,14
2023-11-02 16:45:15,APPLE,79-F2-DE-83-60-9B,-63,12,14
2023-11-02 16:45:20,APPLE,79-F2-DE-83-60-9B,-69,13,13
2023-11-02 16:45:25,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:45:30,APPLE,79-F2-DE-83-60-9B,-63,12,14
2023-11-02 16:45:35,APPLE,79-F2-DE-83-60-9B,-65,8,8
2023-11-02 16:45:40,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:45:45,APPLE,79-F2-DE-83-60-9B,-66,13,13
2023-11-02 16:45:50,APPLE,79-F2-DE-83-60-9B,-74,20,20
2023-11-02 16:45:55,APPLE,79-F2-DE-83-60-9B,-67,12,14
2023-11-02 16:46:00,APPLE,79-F2-DE-83-60-9B,-83,20,20
2023-11-02 16:46:05,APPLE,79-F2-DE-83-60-9B,-62,12,14
2023-11-02 16:46:10,APPLE,79-F2-DE-83-60-9B,-66,12,14
2023-11-02 16:46:15,APPLE,79-F2-DE-83-60-9B,-64,12,14
2023-11-02 16:46:20,APPLE,79-F2-DE-83-60-9B,-61,12,14
2023-11-02 16:46:25,APPLE,79-F2-DE-83-60-9B,-62,12,14
2023-11-02 16:46:30,APPLE,79-F2-DE-83-60-9B,-62,12,14
2023-11-02 16:46:35,APPLE,79-F2-DE-83-60-9B,-70,19,19
2023-11-02 16:46:40,APPLE,79-F2-DE-83-60-9B,-68,20,20
2023-11-02 16:46:45,APPLE,79-F2-DE-83-60-9B,-55,20,20
2023-11-02 16:46:50,APPLE,79-F2-DE-83-60-9B,-71,20,20
2023-11-02 16:47:10,APPLE,79-F2-DE-83-60-9B,-73,10,10
2023-11-02 16:47:20,APPLE,79-F2-DE-83-60-9B,-88,19,19
