time,device,mac_id,rss,sector_id,zone_id
2023-11-02 15:30:10,APPLE,7A-90-22-2C-3A-A3,-63,17,17
2023-11-02 15:30:15,APPLE,7A-90-22-2C-3A-A3,-72,13,13
2023-11-02 15:30:20,APPLE,7A-90-22-2C-3A-A3,-66,18,18
2023-11-02 15:30:25,APPLE,7A-90-22-2C-3A-A3,-66,18,18
2023-11-02 15:30:30,APPLE,7A-90-22-2C-3A-A3,-72,18,18
2023-11-02 15:30:35,APPLE,7A-90-22-2C-3A-A3,-68,18,18
2023-11-02 15:30:40,APPLE,7A-90-22-2C-3A-A3,-70,13,13
2023-11-02 15:30:50,APPLE,7A-90-22-2C-3A-A3,-66,19,19
2023-11-02 15:30:55,APPLE,7A-90-22-2C-3A-A3,-66,19,19
2023-11-02 15:31:00,APPLE,7A-90-22-2C-3A-A3,-76,12,14
2023-11-02 15:35:35,APPLE,7A-90-22-2C-3A-A3,-68,13,13
2023-11-02 15:35:40,APPLE,7A-90-22-2C-3A-A3,-70,13,13
2023-11-02 15:35:45,APPLE,7A-90-22-2C-3A-A3,-69,13,13
2023-11-02 15:35:50,APPLE,7A-90-22-2C-3A-A3,-67,14,12
2023-11-02 15:35:55,APPLE,7A-90-22-2C-3A-A3,-65,14,12
2023-11-02 15:36:00,APPLE,7A-90-22-2C-3A-A3,-64,14,12
2023-11-02 15:36:05,APPLE,7A-90-22-2C-3A-A3,-70,14,12
2023-11-02 15:36:10,APPLE,7A-90-22-2C-3A-A3,-65,14,12
2023-11-02 15:36:15,APPLE,7A-90-22-2C-3A-A3,-68,14,12
2023-11-02 15:36:20,APPLE,7A-90-22-2C-3A-A3,-69,14,12
2023-11-02 15:36:25,APPLE,7A-90-22-2C-3A-A3,-74,14,12
2023-11-02 15:37:15,APPLE,7A-90-22-2C-3A-A3,-73,14,12
2023-11-02 15:37:20,APPLE,7A-90-22-2C-3A-A3,-73,15,11
2023-11-02 15:37:25,APPLE,7A-90-22-2C-3A-A3,-78,15,11
2023-11-02 15:37:45,APPLE,7A-90-22-2C-3A-A3,-80,15,11
2023-11-02 15:37:50,APPLE,7A-90-22-2C-3A-A3,-79,17,17
2023-11-02 15:38:00,APPLE,7A-90-22-2C-3A-A3,-73,14,12
2023-11-02 15:38:05,APPLE,7A-90-22-2C-3A-A3,-77,15,11
2023-11-02 15:38:10,APPLE,7A-90-22-2C-3A-A3,-74,14,12
2023-11-02 15:39:50,APPLE,7A-90-22-2C-3A-A3,-75,15,11
2023-11-02 15:39:55,APPLE,7A-90-22-2C-3A-A3,-73,15,11
2023-11-02 15:40:05,APPLE,7A-90-22-2C-3A-A3,-75,15,11
2023-11-02 15:40:10,APPLE,7A-90-22-2C-3A-A3,-82,17,17
2023-11-02 15:40:20,APPLE,7A-90-22-2C-3A-A3,-77,14,12
2023-11-02 15:40:25,APPLE,7A-90-22-2C-3A-A3,-75,17,17
2023-11-02 15:40:30,APPLE,7A-90-22-2C-3A-A3,-74,17,17
2023-11-02 15:41:20,APPLE,7A-90-22-2C-3A-A3,-73,15,11
2023-11-02 15:41:25,APPLE,7A-90-22-2C-3A-A3,-71,14,12
2023-11-02 15:41:35,APPLE,7A-90-22-2C-3A-A3,-72,17,17
2023-11-02 15:43:20,APPLE,7A-90-22-2C-3A-A3,-82,15,11
2023-11-02 15:43:25,APPLE,7A-90-22-2C-3A-A3,-74,15,11
2023-11-02 15:43:30,APPLE,7A-90-22-2C-3A-A3,-74,15,11
2023-11-02 15:43:35,APPLE,7A-90-22-2C-3A-A3,-74,15,11
