time,device,mac_id,rss,sector_id,zone_id
2023-11-02 11:34:50,APPLE,7B-96-FE-08-CD-4A,-72,17,17
2023-11-02 11:35:05,APPLE,7B-96-FE-08-CD-4A,-78,9,9
2023-11-02 11:35:10,APPLE,7B-96-FE-08-CD-4A,-66,18,18
2023-11-02 11:35:15,APPLE,7B-96-FE-08-CD-4A,-81,12,14
2023-11-02 11:35:20,APPLE,7B-96-FE-08-CD-4A,-78,13,13
2023-11-02 11:35:25,APPLE,7B-96-FE-08-CD-4A,-75,13,13
2023-11-02 11:35:35,APPLE,7B-96-FE-08-CD-4A,-83,11,15
2023-11-02 11:35:50,APPLE,7B-96-FE-08-CD-4A,-77,11,15
2023-11-02 11:36:00,APPLE,7B-96-FE-08-CD-4A,-81,22,21
2023-11-02 11:36:10,APPLE,7B-96-FE-08-CD-4A,-85,24,22
2023-11-02 11:36:15,APPLE,7B-96-FE-08-CD-4A,-70,17,17
2023-11-02 11:36:20,APPLE,7B-96-FE-08-CD-4A,-74,11,15
2023-11-02 11:36:25,APPLE,7B-96-FE-08-CD-4A,-74,11,15
2023-11-02 11:36:30,APPLE,7B-96-FE-08-CD-4A,-86,24,22
2023-11-02 11:37:00,APPLE,7B-96-FE-08-CD-4A,-70,13,13
2023-11-02 11:37:10,APPLE,7B-96-FE-08-CD-4A,-73,13,13
2023-11-02 11:37:20,APPLE,7B-96-FE-08-CD-4A,-72,13,13
2023-11-02 11:37:25,APPLE,7B-96-FE-08-CD-4A,-72,13,13
2023-11-02 11:37:30,APPLE,7B-96-FE-08-CD-4A,-83,13,13
2023-11-02 11:38:40,APPLE,7B-96-FE-08-CD-4A,-72,12,14
2023-11-02 11:38:45,APPLE,7B-96-FE-08-CD-4A,-77,18,18
2023-11-02 11:39:50,APPLE,7B-96-FE-08-CD-4A,-76,16,16
2023-11-02 11:40:10,APPLE,7B-96-FE-08-CD-4A,-87,24,22
2023-11-02 11:40:25,APPLE,7B-96-FE-08-CD-4A,-78,13,13
2023-11-02 11:40:30,APPLE,7B-96-FE-08-CD-4A,-75,13,13
2023-11-02 11:40:35,APPLE,7B-96-FE-08-CD-4A,-76,13,13
2023-11-02 11:43:05,APPLE,7B-96-FE-08-CD-4A,-77,11,15
2023-11-02 11:43:10,APPLE,7B-96-FE-08-CD-4A,-82,10,10
2023-11-02 11:43:35,APPLE,7B-96-FE-08-CD-4A,-77,13,13
