time,device,mac_id,rss,sector_id,zone_id
2023-11-02 10:49:40,APPLE,7F-DC-0B-08-6C-6E,-84,9,9
2023-11-02 10:50:00,APPLE,7F-DC-0B-08-6C-6E,-80,9,9
2023-11-02 10:50:15,APPLE,7F-DC-0B-08-6C-6E,-88,4,2
2023-11-02 10:50:30,APPLE,7F-DC-0B-08-6C-6E,-81,20,20
2023-11-02 10:50:35,APPLE,7F-DC-0B-08-6C-6E,-86,5,1
2023-11-02 10:50:50,APPLE,7F-DC-0B-08-6C-6E,-76,10,10
2023-11-02 10:50:55,APPLE,7F-DC-0B-08-6C-6E,-77,9,9
2023-11-02 10:51:05,APPLE,7F-DC-0B-08-6C-6E,-78,9,9
2023-11-02 10:51:10,APPLE,7F-DC-0B-08-6C-6E,-76,8,8
2023-11-02 10:51:15,APPLE,7F-DC-0B-08-6C-6E,-78,9,9
2023-11-02 10:51:20,APPLE,7F-DC-0B-08-6C-6E,-78,10,10
2023-11-02 10:51:25,APPLE,7F-DC-0B-08-6C-6E,-71,10,10
2023-11-02 10:51:35,APPLE,7F-DC-0B-08-6C-6E,-82,18,18
2023-11-02 10:51:40,APPLE,7F-DC-0B-08-6C-6E,-81,10,10
2023-11-02 10:51:55,APPLE,7F-DC-0B-08-6C-6E,-81,8,8
2023-11-02 10:52:00,APPLE,7F-DC-0B-08-6C-6E,-71,9,9
2023-11-02 10:52:15,APPLE,7F-DC-0B-08-6C-6E,-73,10,10
2023-11-02 10:52:40,APPLE,7F-DC-0B-08-6C-6E,-72,9,9
2023-11-02 10:52:45,APPLE,7F-DC-0B-08-6C-6E,-83,9,9
2023-11-02 10:53:15,APPLE,7F-DC-0B-08-6C-6E,-81,12,14
2023-11-02 10:53:20,APPLE,7F-DC-0B-08-6C-6E,-72,12,14
2023-11-02 10:53:45,APPLE,7F-DC-0B-08-6C-6E,-79,8,8
2023-11-02 10:53:50,APPLE,7F-DC-0B-08-6C-6E,-79,8,8
2023-11-02 10:54:10,APPLE,7F-DC-0B-08-6C-6E,-76,9,9
2023-11-02 10:54:15,APPLE,7F-DC-0B-08-6C-6E,-83,9,9
2023-11-02 10:54:25,APPLE,7F-DC-0B-08-6C-6E,-83,12,14
2023-11-02 10:54:30,APPLE,7F-DC-0B-08-6C-6E,-77,9,9
2023-11-02 10:54:40,APPLE,7F-DC-0B-08-6C-6E,-74,9,9
2023-11-02 10:54:55,APPLE,7F-DC-0B-08-6C-6E,-88,5,1
2023-11-02 10:55:30,APPLE,7F-DC-0B-08-6C-6E,-78,8,8
2023-11-02 10:55:40,APPLE,7F-DC-0B-08-6C-6E,-77,12,14
2023-11-02 10:55:45,APPLE,7F-DC-0B-08-6C-6E,-78,8,8
2023-11-02 10:55:50,APPLE,7F-DC-0B-08-6C-6E,-78,8,8
2023-11-02 10:56:00,APPLE,7F-DC-0B-08-6C-6E,-80,8,8
2023-11-02 10:56:05,APPLE,7F-DC-0B-08-6C-6E,-80,8,8
2023-11-02 10:56:20,APPLE,7F-DC-0B-08-6C-6E,-81,7,7
2023-11-02 10:56:25,APPLE,7F-DC-0B-08-6C-6E,-80,7,7
2023-11-02 10:56:55,APPLE,7F-DC-0B-08-6C-6E,-68,7,7
2023-11-02 10:57:00,APPLE,7F-DC-0B-08-6C-6E,-68,7,7
2023-11-02 10:57:05,APPLE,7F-DC-0B-08-6C-6E,-65,7,7
2023-11-02 10:57:10,APPLE,7F-DC-0B-08-6C-6E,-74,17,17
2023-11-02 10:57:15,APPLE,7F-DC-0B-08-6C-6E,-66,7,7
2023-11-02 10:57:20,APPLE,7F-DC-0B-08-6C-6E,-77,4,2
2023-11-02 10:57:25,APPLE,7F-DC-0B-08-6C-6E,-75,9,9
2023-11-02 10:57:30,APPLE,7F-DC-0B-08-6C-6E,-76,9,9
2023-11-02 10:57:40,APPLE,7F-DC-0B-08-6C-6E,-82,4,2
2023-11-02 10:57:50,APPLE,7F-DC-0B-08-6C-6E,-80,4,2
2023-11-02 10:57:55,APPLE,7F-DC-0B-08-6C-6E,-81,4,2
2023-11-02 10:58:05,APPLE,7F-DC-0B-08-6C-6E,-71,7,7
2023-11-02 10:58:10,APPLE,7F-DC-0B-08-6C-6E,-78,4,2
2023-11-02 10:58:15,APPLE,7F-DC-0B-08-6C-6E,-83,4,2
2023-11-02 10:58:20,APPLE,7F-DC-0B-08-6C-6E,-71,7,7
2023-11-02 10:58:25,APPLE,7F-DC-0B-08-6C-6E,-69,4,2
2023-11-02 10:58:30,APPLE,7F-DC-0B-08-6C-6E,-63,7,7
2023-11-02 10:58:35,APPLE,7F-DC-0B-08-6C-6E,-62,7,7
2023-11-02 10:58:40,APPLE,7F-DC-0B-08-6C-6E,-76,4,2
2023-11-02 10:58:45,APPLE,7F-DC-0B-08-6C-6E,-73,4,2
2023-11-02 10:58:50,APPLE,7F-DC-0B-08-6C-6E,-67,7,7
2023-11-02 10:58:55,APPLE,7F-DC-0B-08-6C-6E,-65,4,2
2023-11-02 10:59:00,APPLE,7F-DC-0B-08-6C-6E,-64,4,2
2023-11-02 10:59:05,APPLE,7F-DC-0B-08-6C-6E,-70,4,2
2023-11-02 10:59:10,APPLE,7F-DC-0B-08-6C-6E,-71,4,2
2023-11-02 10:59:15,APPLE,7F-DC-0B-08-6C-6E,-73,5,1
2023-11-02 10:59:20,APPLE,7F-DC-0B-08-6C-6E,-73,5,1
2023-11-02 10:59:25,APPLE,7F-DC-0B-08-6C-6E,-71,5,1
2023-11-02 10:59:30,APPLE,7F-DC-0B-08-6C-6E,-72,5,1
2023-11-02 10:59:40,APPLE,7F-DC-0B-08-6C-6E,-71,5,1
2023-11-02 10:59:50,APPLE,7F-DC-0B-08-6C-6E,-75,5,1
2023-11-02 11:00:15,APPLE,7F-DC-0B-08-6C-6E,-66,6,6
2023-11-02 11:00:20,APPLE,7F-DC-0B-08-6C-6E,-66,6,6
2023-11-02 11:00:25,APPLE,7F-DC-0B-08-6C-6E,-66,6,6
2023-11-02 11:00:30,APPLE,7F-DC-0B-08-6C-6E,-75,6,6
2023-11-02 11:00:35,APPLE,7F-DC-0B-08-6C-6E,-77,14,12
2023-11-02 11:00:40,APPLE,7F-DC-0B-08-6C-6E,-65,7,7
2023-11-02 11:00:45,APPLE,7F-DC-0B-08-6C-6E,-70,7,7
2023-11-02 11:01:00,APPLE,7F-DC-0B-08-6C-6E,-67,7,7
2023-11-02 11:01:05,APPLE,7F-DC-0B-08-6C-6E,-69,6,6
2023-11-02 11:01:10,APPLE,7F-DC-0B-08-6C-6E,-65,7,7
2023-11-02 11:01:15,APPLE,7F-DC-0B-08-6C-6E,-68,7,7
2023-11-02 11:01:20,APPLE,7F-DC-0B-08-6C-6E,-69,6,6
2023-11-02 11:01:25,APPLE,7F-DC-0B-08-6C-6E,-66,7,7
2023-11-02 11:01:30,APPLE,7F-DC-0B-08-6C-6E,-62,7,7
2023-11-02 11:01:35,APPLE,7F-DC-0B-08-6C-6E,-65,7,7
2023-11-02 11:01:40,APPLE,7F-DC-0B-08-6C-6E,-65,7,7
2023-11-02 11:01:45,APPLE,7F-DC-0B-08-6C-6E,-69,6,6
2023-11-02 11:01:50,APPLE,7F-DC-0B-08-6C-6E,-58,7,7
2023-11-02 11:01:55,APPLE,7F-DC-0B-08-6C-6E,-57,7,7
2023-11-02 11:02:00,APPLE,7F-DC-0B-08-6C-6E,-60,7,7
2023-11-02 11:02:05,APPLE,7F-DC-0B-08-6C-6E,-60,7,7
2023-11-02 11:02:10,APPLE,7F-DC-0B-08-6C-6E,-60,7,7
2023-11-02 11:02:15,APPLE,7F-DC-0B-08-6C-6E,-60,7,7
2023-11-02 11:02:20,APPLE,7F-DC-0B-08-6C-6E,-58,7,7
2023-11-02 11:02:25,APPLE,7F-DC-0B-08-6C-6E,-80,9,9
2023-11-02 11:02:35,APPLE,7F-DC-0B-08-6C-6E,-78,13,13
2023-11-02 11:02:55,APPLE,7F-DC-0B-08-6C-6E,-74,13,13
2023-11-02 11:03:05,APPLE,7F-DC-0B-08-6C-6E,-67,8,8
2023-11-02 11:03:10,APPLE,7F-DC-0B-08-6C-6E,-72,12,14
2023-11-02 11:03:15,APPLE,7F-DC-0B-08-6C-6E,-70,9,9
2023-11-02 11:03:20,APPLE,7F-DC-0B-08-6C-6E,-66,9,9
2023-11-02 11:03:25,APPLE,7F-DC-0B-08-6C-6E,-71,8,8
2023-11-02 11:03:30,APPLE,7F-DC-0B-08-6C-6E,-73,9,9
2023-11-02 11:03:35,APPLE,7F-DC-0B-08-6C-6E,-66,9,9
2023-11-02 11:03:40,APPLE,7F-DC-0B-08-6C-6E,-60,9,9
2023-11-02 11:03:45,APPLE,7F-DC-0B-08-6C-6E,-74,9,9
2023-11-02 11:03:50,APPLE,7F-DC-0B-08-6C-6E,-67,10,10
2023-11-02 11:03:55,APPLE,7F-DC-0B-08-6C-6E,-68,10,10
2023-11-02 11:04:00,APPLE,7F-DC-0B-08-6C-6E,-73,10,10
2023-11-02 11:04:05,APPLE,7F-DC-0B-08-6C-6E,-68,10,10
2023-11-02 11:04:25,APPLE,7F-DC-0B-08-6C-6E,-68,10,10
2023-11-02 11:04:30,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:04:35,APPLE,7F-DC-0B-08-6C-6E,-68,10,10
2023-11-02 11:04:40,APPLE,7F-DC-0B-08-6C-6E,-67,10,10
2023-11-02 11:04:45,APPLE,7F-DC-0B-08-6C-6E,-62,10,10
2023-11-02 11:04:55,APPLE,7F-DC-0B-08-6C-6E,-67,10,10
2023-11-02 11:05:00,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:05:05,APPLE,7F-DC-0B-08-6C-6E,-81,2,4
2023-11-02 11:05:10,APPLE,7F-DC-0B-08-6C-6E,-68,10,10
2023-11-02 11:05:15,APPLE,7F-DC-0B-08-6C-6E,-70,10,10
2023-11-02 11:05:20,APPLE,7F-DC-0B-08-6C-6E,-69,10,10
2023-11-02 11:05:25,APPLE,7F-DC-0B-08-6C-6E,-69,10,10
2023-11-02 11:05:30,APPLE,7F-DC-0B-08-6C-6E,-66,10,10
2023-11-02 11:05:35,APPLE,7F-DC-0B-08-6C-6E,-69,10,10
2023-11-02 11:05:40,APPLE,7F-DC-0B-08-6C-6E,-73,10,10
2023-11-02 11:05:45,APPLE,7F-DC-0B-08-6C-6E,-71,10,10
2023-11-02 11:05:50,APPLE,7F-DC-0B-08-6C-6E,-60,10,10
2023-11-02 11:05:55,APPLE,7F-DC-0B-08-6C-6E,-62,10,10
2023-11-02 11:06:00,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:06:05,APPLE,7F-DC-0B-08-6C-6E,-64,10,10
2023-11-02 11:06:10,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:06:15,APPLE,7F-DC-0B-08-6C-6E,-67,10,10
2023-11-02 11:06:20,APPLE,7F-DC-0B-08-6C-6E,-70,10,10
2023-11-02 11:06:25,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:06:30,APPLE,7F-DC-0B-08-6C-6E,-65,10,10
2023-11-02 11:06:35,APPLE,7F-DC-0B-08-6C-6E,-69,10,10
2023-11-02 11:06:40,APPLE,7F-DC-0B-08-6C-6E,-70,10,10
2023-11-02 11:06:45,APPLE,7F-DC-0B-08-6C-6E,-70,10,10
